fecha_proceso,nro_socio,v_ah_cuenta,fecha_aper,fecha_ultmov,oficina_cta,estado_actual,prod_bancario,saldo_disponible,monto_bloq,ult_tasa_int,tiene_bloqueos,bloqueo_encaje,v24h,val_de_creditos,val_de_debitos,fecha_ult_capi,tipo_cuenta,cooplinea,tarjetas,credito,fecha_actualizacion,v12h,v48h,v72h_difer,int_hoy,int_acumulado,saldo_int_decim
2026-05-18,2000000,4000000,2025-08-20,2026-03-14,20,A,1,13403.91,268.08,1.00,1,210.93,1416.17,12012.85,3814.22,2026-05-18,EL CENTAVITO,0,1,1,2025-05-29,204.33,1235.43,402.47,1.84,60.57,8.89
2026-05-18,2000001,4000001,2024-04-29,2026-04-09,69,A,10,9003.00,180.06,2.00,1,71.95,951.39,2331.75,3991.88,2026-05-18,EL CENTAVITO,1,1,1,2025-12-09,386.25,1308.02,207.48,0.67,42.53,0.79
2026-05-18,2000002,4000002,2021-11-30,2026-05-12,60,A,10,17139.84,342.80,1.50,1,136.12,837.12,8877.46,5267.05,2026-05-18,EL CENTAVITO,1,1,1,2025-03-31,654.80,1731.65,812.60,1.32,57.52,81.99
2026-05-18,2000003,4000003,2023-12-13,2026-03-10,20,A,20,15998.23,319.96,1.00,1,7.38,1286.48,12806.14,6928.94,2026-05-18,AHORROS,1,0,1,2026-05-01,617.64,186.12,1026.57,0.09,8.78,3.98
2026-05-18,2000004,4000004,2021-06-08,2026-03-10,69,A,20,6997.49,139.95,1.50,1,153.29,472.74,3948.29,7332.36,2026-05-18,EL CENTAVITO,1,0,1,2026-03-29,245.00,978.73,597.39,0.19,209.75,20.60
2026-05-18,2000005,4000005,2026-04-28,2026-04-17,41,A,1,12027.17,240.54,2.00,1,93.78,1233.84,8569.85,8054.68,2026-05-18,CUENTA BASICA,1,0,1,2025-05-21,248.42,850.91,1183.84,1.00,19.70,28.33
2026-05-18,2000006,4000006,2024-05-26,2026-03-17,69,A,20,7538.39,150.77,1.00,1,61.16,618.76,2205.74,7467.63,2026-05-18,CUENTA BASICA,1,0,1,2025-06-19,204.03,1204.38,10.21,0.54,8.04,2.02
2026-05-18,2000007,4000007,2025-04-18,2026-05-06,60,A,10,8417.99,168.36,0.60,1,69.22,1058.38,3790.48,7027.67,2026-05-18,AHORROS,0,1,1,2025-06-30,172.44,7.40,400.54,0.57,18.04,8.96
2026-05-18,2000008,4000008,2018-01-24,2026-04-17,48,A,20,11923.57,238.47,1.00,1,50.13,897.24,3062.23,10354.82,2026-05-18,AHORROS,0,0,1,2025-06-24,777.71,902.13,640.95,0.59,4.58,23.47
2026-05-18,2000009,4000009,2023-07-22,2026-03-26,69,A,1,20197.19,403.94,1.00,1,156.18,839.45,8796.23,4501.55,2026-05-18,AHORROS,1,1,1,2025-01-13,726.74,2132.11,57.51,0.78,163.77,73.11
2026-05-18,2000010,4000010,2022-02-27,2026-04-18,5,A,10,19700.84,394.02,1.00,1,40.77,862.26,7643.22,16742.29,2026-05-18,EL CENTAVITO,1,0,1,2025-07-31,664.79,1158.92,423.93,0.87,133.87,34.84
2026-05-18,2000011,4000011,2025-01-08,2026-05-10,20,A,20,12237.24,244.74,1.50,1,94.86,1245.70,9020.84,4799.23,2026-05-18,AHORROS,1,1,1,2026-02-04,841.68,2017.06,624.46,0.83,13.62,24.99
2026-05-18,2000012,4000012,2018-08-09,2026-03-26,69,A,1,6518.99,130.38,1.00,1,17.15,1198.88,2878.79,7444.78,2026-05-18,EL CENTAVITO,1,1,1,2025-10-22,514.37,2372.29,358.29,0.29,7.10,1.69
2026-05-18,2000013,4000013,2020-08-30,2026-04-24,5,A,1,15904.30,318.09,2.00,1,15.95,93.33,3201.72,7773.45,2026-05-18,CUENTA BASICA,0,1,1,2025-09-08,711.44,2348.73,433.67,0.62,45.16,17.05
2026-05-18,2000014,4000014,2019-12-27,2026-04-20,41,A,10,13218.31,264.37,0.60,1,16.13,812.75,3852.07,3416.83,2026-05-18,AHORROS,1,1,1,2026-05-12,272.67,1778.88,617.17,0.28,4.93,1.68
