nro_socio,nombre_socio,sexo,estado_civil,fech_nacimiento,ingresos_socio,egresos_socio,nivel_educa,tipo_vivien,nro_carga_fam,tipo_vivien_orig,ciudad_orig,nro_credito
2000000,Mateo Torres Vera,M,C,1996-04-22,6133.23,2025.02,S,PROPIA,5,FAMILIAR,Loja,1
2000001,Carlos Vera Ponce,M,V,1996-09-28,2725.22,1243.27,U,ARRENDADA,3,HIPOTECADA,Portoviejo,1
2000002,Paola Ponce Zambrano,F,C,1994-03-12,5461.52,2412.64,T,ARRENDADA,3,ARRENDADA,Portoviejo,1
2000003,Miguel Moreira Torres,M,S,1994-09-14,2515.58,733.90,T,FAMILIAR,0,ARRENDADA,Machala,1
2000004,Maria Zambrano Torres,F,D,1980-07-24,2223.30,559.45,P,HIPOTECADA,5,PROPIA,Portoviejo,1
2000005,Paola Ponce Lopez,F,V,1961-03-06,4946.50,2335.25,N,FAMILIAR,2,HIPOTECADA,Guayaquil,1
2000006,Diego Moreira Lopez,M,V,1995-10-14,3217.74,1458.14,P,HIPOTECADA,1,PROPIA,Manta,1
2000007,Mateo Torres Vera,M,S,1955-06-20,2989.78,903.26,U,HIPOTECADA,4,PROPIA,Manta,1
2000008,Camila Mendoza Zambrano,F,C,1988-11-02,2679.36,1252.26,U,ARRENDADA,3,FAMILIAR,Machala,1
2000009,Miguel Lopez Mendoza,M,U,1990-06-06,4470.53,1397.44,S,FAMILIAR,4,PROPIA,Portoviejo,1
2000010,Oscar Vera Cedeño,M,S,1966-09-14,4971.07,2040.01,P,PROPIA,4,HIPOTECADA,Quito,1
2000011,Jorge Lopez Zambrano,M,U,1974-11-28,2674.73,658.61,P,ARRENDADA,5,HIPOTECADA,Manta,1
2000012,Jorge Lopez Lopez,M,V,1996-04-08,2256.16,1049.01,S,FAMILIAR,1,PROPIA,Machala,1
2000013,Oscar Torres Vera,M,S,1972-01-21,5019.49,1729.04,T,ARRENDADA,0,FAMILIAR,Manta,1
2000014,Luis Vera Moreira,M,D,1956-10-09,2878.69,873.97,P,HIPOTECADA,4,PROPIA,Cuenca,1
2000015,Maria Cedeño Torres,F,U,1980-08-02,2332.85,864.49,N,FAMILIAR,3,PROPIA,Loja,1
2000016,Luis Mendoza Torres,M,U,1987-09-09,5434.09,1968.36,P,ARRENDADA,0,FAMILIAR,Ambato,1
2000017,Lucia Cedeño Ponce,F,S,1979-03-21,3797.21,1726.83,P,FAMILIAR,4,HIPOTECADA,Machala,1
2000018,Miguel Moreira Mendoza,M,U,1974-11-16,3267.42,724.31,T,FAMILIAR,5,HIPOTECADA,Guayaquil,1
2000019,Camila Vera Moreira,F,S,2003-04-05,5472.23,1306.26,N,PROPIA,2,HIPOTECADA,Machala,1
2000020,Ana Lopez Vera,F,C,2003-04-06,3489.84,1616.34,P,FAMILIAR,2,FAMILIAR,Cuenca,1
2000021,Camila Lopez Moreira,F,S,1996-09-18,4472.81,1358.01,N,HIPOTECADA,3,HIPOTECADA,Ambato,1
2000022,Diego Torres Cedeño,M,V,1999-11-04,3489.13,1395.50,P,HIPOTECADA,4,ARRENDADA,Loja,1
2000023,Andres Lopez Zambrano,M,V,1977-03-18,3606.21,995.90,S,HIPOTECADA,0,HIPOTECADA,Manta,1
2000024,Camila Mendoza Mendoza,F,U,1960-04-13,5454.99,1337.67,P,PROPIA,4,HIPOTECADA,Portoviejo,1
2000025,Luis Torres Mendoza,M,D,1970-06-20,3502.46,1660.57,S,HIPOTECADA,3,HIPOTECADA,Quito,1
2000026,Maria Moreira Vera,F,C,1995-06-26,2894.01,680.48,P,ARRENDADA,4,FAMILIAR,Ambato,1
2000027,Mateo Mendoza Torres,M,V,1992-04-09,6118.75,2045.87,S,ARRENDADA,3,HIPOTECADA,Loja,1
2000028,Sofia Zambrano Ponce,F,V,1994-07-09,3728.90,1706.55,T,ARRENDADA,0,FAMILIAR,Ambato,1
2000029,Sofia Ponce Moreira,F,D,1971-08-09,4468.55,1729.08,P,ARRENDADA,3,HIPOTECADA,Cuenca,1
2000030,Camila Moreira Ponce,F,S,1987-07-04,2916.11,1335.00,P,HIPOTECADA,2,HIPOTECADA,Quito,1
2000031,Paola Moreira Cedeño,F,C,1987-08-18,3242.12,859.95,P,ARRENDADA,2,PROPIA,Manta,1
2000032,Mateo Mendoza Lopez,M,D,1970-02-23,4549.16,1273.77,P,ARRENDADA,2,ARRENDADA,Loja,1
2000033,Ana Mendoza Moreira,F,V,2001-11-15,3953.65,1035.54,N,PROPIA,0,PROPIA,Manta,1
2000034,Sofia Moreira Lopez,F,D,1981-03-08,4914.19,1224.08,P,FAMILIAR,2,FAMILIAR,Loja,1
2000035,Diana Lopez Cedeño,F,S,1976-06-17,3964.71,1359.90,U,ARRENDADA,2,PROPIA,Quito,1
2000036,Sofia Cedeño Zambrano,F,S,1976-12-31,5926.76,2294.30,U,PROPIA,1,HIPOTECADA,Ambato,1
2000037,Luis Ponce Torres,M,C,2002-10-19,4998.07,1916.48,N,PROPIA,0,FAMILIAR,Quito,1
2000038,Jorge Vera Zambrano,M,C,2002-01-31,3590.26,981.65,S,PROPIA,2,HIPOTECADA,Portoviejo,1
2000039,Diego Moreira Torres,M,D,1970-08-03,6073.10,2731.81,N,ARRENDADA,4,FAMILIAR,Manta,1
2000040,Diego Vera Cedeño,M,U,1998-05-06,6003.91,2108.58,N,ARRENDADA,2,FAMILIAR,Cuenca,1
2000041,Gabriela Zambrano Vera,F,D,1992-10-12,3894.84,878.16,U,PROPIA,0,HIPOTECADA,Quito,1
2000042,Sofia Vera Mendoza,F,D,1982-06-15,4704.82,1633.46,U,HIPOTECADA,0,FAMILIAR,Machala,1
2000043,Maria Cedeño Cedeño,F,U,1966-03-19,2209.98,933.64,U,HIPOTECADA,4,ARRENDADA,Machala,1
2000044,Sofia Moreira Lopez,F,U,1972-09-02,3758.89,888.19,U,PROPIA,2,ARRENDADA,Guayaquil,1
2000045,Oscar Torres Zambrano,M,U,1968-01-20,5650.08,2632.57,P,HIPOTECADA,2,FAMILIAR,Ambato,1
2000046,Ana Mendoza Cedeño,F,C,1993-10-10,5925.88,1889.39,S,FAMILIAR,0,ARRENDADA,Machala,1
2000047,Jorge Mendoza Lopez,M,D,2002-03-19,3935.99,1195.76,U,PROPIA,3,FAMILIAR,Guayaquil,1
