fecha_trn,nro_socio,cuenta,signo_nc_nd,valor_trn,causal_trn,correccion,saldo_contable,saldo_disponible
2026-05-21,2000209,4000209,D,371.72,33,N,3422.06,3410.90
2026-05-16,2000209,4000209,D,396.51,2,N,3260.14,3252.84
2026-05-11,2000209,4000209,C,865.38,1,N,4119.99,4094.79
2026-05-06,2000209,4000209,C,104.22,8,N,3446.25,3432.35
2026-05-01,2000209,4000209,C,384.57,1,N,2977.31,2953.44
2026-04-26,2000209,4000209,C,290.42,1,N,3333.89,3305.22
2026-04-13,2000029,4000029,D,779.55,33,N,14223.19,14193.98
2026-04-24,2000029,4000029,C,610.51,8,N,14833.70,14822.40
2026-05-06,2000029,4000029,D,196.77,33,N,14636.93,14609.08
2026-05-14,2000333,4000333,D,481.48,12,N,0.00,0.00
2026-03-07,2000489,4000489,D,123.52,12,N,25.29,9.68
2026-03-16,2000489,4000489,D,271.96,1,N,0.00,0.00
2026-05-17,2000486,4000486,C,80.46,1,N,1835.83,1797.45
2026-05-07,2000486,4000486,C,32.50,1,N,1868.33,1860.26
2026-05-14,2000486,4000486,D,148.89,5,N,1719.43,1706.93
2026-03-06,2000486,4000486,C,437.89,1,N,2157.32,2129.86
2026-05-21,2000241,4000241,C,785.02,2,N,13014.76,13005.98
2026-05-16,2000241,4000241,D,456.64,1,N,12632.42,12626.67
2026-05-11,2000241,4000241,C,861.15,8,N,13442.83,13420.10
2026-05-06,2000241,4000241,D,724.99,2,N,13660.93,13639.64
2026-05-01,2000241,4000241,D,763.05,1,N,12888.46,12860.56
2026-04-26,2000241,4000241,D,198.62,8,N,12135.65,12125.27
2026-04-23,2000332,4000332,D,243.54,33,N,278.44,259.43
2026-04-10,2000332,4000332,D,110.72,8,N,167.72,143.77
2026-03-10,2000050,4000050,C,801.88,5,N,8028.68,7999.42
2026-04-13,2000050,4000050,C,1070.41,1,N,9099.09,9060.09
2026-04-22,2000050,4000050,C,1651.88,33,N,10750.97,10739.56
2026-04-09,2000347,4000347,C,623.33,21,N,910.52,904.70
2026-04-02,2000347,4000347,D,290.63,1,N,619.89,605.37
2026-04-25,2000044,4000044,C,277.21,8,N,14372.19,14354.73
2026-04-14,2000044,4000044,C,468.01,21,S,14840.20,14818.46
2026-04-15,2000044,4000044,C,552.09,2,N,15392.29,15386.29
2026-05-17,2000044,4000044,D,1683.16,33,N,13709.12,13672.35
2026-05-10,2000044,4000044,D,1713.76,2,N,11995.37,11962.35
2026-05-21,2000308,4000308,C,247.51,8,N,415.71,409.67
2026-05-16,2000308,4000308,D,149.68,2,N,381.36,358.63
2026-05-11,2000308,4000308,D,171.20,1,N,1233.40,1215.50
2026-05-06,2000308,4000308,D,602.32,33,N,467.25,447.81
2026-03-31,2000388,4000388,D,564.61,8,N,0.00,0.00
2026-03-16,2000388,4000388,D,84.61,2,N,0.00,0.00
2026-03-23,2000388,4000388,D,296.19,1,N,0.00,0.00
2026-05-01,2000481,4000481,D,506.50,2,N,983.96,977.81
2026-03-16,2000481,4000481,C,308.54,33,N,1292.50,1284.44
2026-05-07,2000062,4000062,D,1228.96,21,N,3101.26,3100.38
2026-03-16,2000062,4000062,C,762.02,1,N,3863.28,3862.61
2026-03-31,2000062,4000062,C,608.63,8,N,4471.90,4459.06
2026-05-21,2000263,4000263,D,297.44,8,N,521.01,503.29
