fecha_proceso,nro_socio,v_ah_cuenta,fecha_aper,fecha_ultmov,oficina_cta,estado_actual,prod_bancario,saldo_disponible,monto_bloq,ult_tasa_int,tiene_bloqueos,bloqueo_encaje,v24h,val_de_creditos,val_de_debitos,fecha_ult_capi,tipo_cuenta,cooplinea,tarjetas,credito,fecha_actualizacion,v12h,v48h,v72h_difer,int_hoy,int_acumulado,saldo_int_decim
2026-05-18,2000000,4000000,2025-08-20,2026-03-14,20,A,1,12429.37,2109.34,1.00,1,210.93,1416.17,957.68,1142.35,2026-05-18,EL CENTAVITO,0,1,1,2025-05-29,204.33,1235.43,402.47,1.84,60.57,8.89
2026-05-18,2000001,4000001,2024-04-29,2026-04-09,69,A,10,4304.39,719.46,2.00,1,71.95,951.39,3961.76,3681.88,2026-05-18,EL CENTAVITO,1,1,1,2025-12-09,386.25,1308.02,207.48,0.67,42.53,0.79
2026-05-18,2000002,4000002,2021-11-30,2026-05-12,60,A,10,17642.59,1361.23,1.50,1,136.12,837.12,1796.89,467.97,2026-05-18,EL CENTAVITO,1,1,1,2025-03-31,654.80,1731.65,812.60,1.32,57.52,81.99
2026-05-18,2000003,4000003,2023-12-13,2026-03-10,20,A,20,2441.38,73.80,1.00,1,7.38,1286.48,1701.68,1799.36,2026-05-18,AHORROS,1,0,1,2026-05-01,617.64,186.12,1026.57,0.09,8.78,3.98
2026-05-18,2000004,4000004,2021-06-08,2026-03-10,69,A,20,16540.57,1532.94,1.50,1,153.29,472.74,2825.01,2503.27,2026-05-18,EL CENTAVITO,1,0,1,2026-03-29,245.00,978.73,597.39,0.19,209.75,20.60
2026-05-18,2000005,4000005,2026-04-28,2026-04-17,41,A,1,14424.94,937.77,2.00,1,93.78,1233.84,1100.73,3089.63,2026-05-18,CUENTA BASICA,1,0,1,2025-05-21,248.42,850.91,1183.84,1.00,19.70,28.33
2026-05-18,2000006,4000006,2024-05-26,2026-03-17,69,A,20,4558.90,611.58,1.00,1,61.16,618.76,3042.29,2409.50,2026-05-18,CUENTA BASICA,1,0,1,2025-06-19,204.03,1204.38,10.21,0.54,8.04,2.02
2026-05-18,2000007,4000007,2025-04-18,2026-05-06,60,A,10,5202.08,692.22,0.60,1,69.22,1058.38,3911.60,563.52,2026-05-18,AHORROS,0,1,1,2025-06-30,172.44,7.40,400.54,0.57,18.04,8.96
2026-05-18,2000008,4000008,2018-01-24,2026-04-17,48,A,20,11212.71,501.28,1.00,1,50.13,897.24,370.48,589.89,2026-05-18,AHORROS,0,0,1,2025-06-24,777.71,902.13,640.95,0.59,4.58,23.47
2026-05-18,2000009,4000009,2023-07-22,2026-03-26,69,A,1,15280.64,1561.75,1.00,1,156.18,839.45,3190.55,2782.11,2026-05-18,AHORROS,1,1,1,2025-01-13,726.74,2132.11,57.51,0.78,163.77,73.11
2026-05-18,2000010,4000010,2022-02-27,2026-04-18,5,A,10,8676.42,407.72,1.00,1,40.77,862.26,197.71,3006.18,2026-05-18,EL CENTAVITO,1,0,1,2025-07-31,664.79,1158.92,423.93,0.87,133.87,34.84
2026-05-18,2000011,4000011,2025-01-08,2026-05-10,20,A,20,6126.48,948.61,1.50,1,94.86,1245.70,3000.84,2853.24,2026-05-18,AHORROS,1,1,1,2026-02-04,841.68,2017.06,624.46,0.83,13.62,24.99
2026-05-18,2000012,4000012,2018-08-09,2026-03-26,69,A,1,2238.91,171.52,1.00,1,17.15,1198.88,264.63,3042.04,2026-05-18,EL CENTAVITO,1,1,1,2025-10-22,514.37,2372.29,358.29,0.29,7.10,1.69
2026-05-18,2000013,4000013,2020-08-30,2026-04-24,5,A,1,3747.80,159.48,2.00,1,15.95,93.33,2766.42,576.89,2026-05-18,CUENTA BASICA,0,1,1,2025-09-08,711.44,2348.73,433.67,0.62,45.16,17.05
2026-05-18,2000014,4000014,2019-12-27,2026-04-20,41,A,10,1508.12,161.28,0.60,1,16.13,812.75,3430.37,3714.82,2026-05-18,AHORROS,1,1,1,2026-05-12,272.67,1778.88,617.17,0.28,4.93,1.68
2026-05-18,2000015,4000015,2020-01-28,2026-04-16,69,A,1,945.06,113.65,2.00,1,11.37,254.47,1842.20,3337.62,2026-05-18,CUENTA BASICA,0,0,1,2025-06-18,234.15,1502.68,307.73,0.01,12.54,2.37
2026-05-18,2000016,4000016,2022-10-01,2026-05-07,20,A,10,10191.10,581.80,2.00,1,58.18,985.31,2580.07,2503.42,2026-05-18,AHORROS,0,0,1,2026-01-10,352.19,546.80,1179.51,0.73,13.72,43.51
2026-05-18,2000017,4000017,2026-02-28,2026-03-06,69,A,1,13995.24,740.13,1.00,1,74.01,115.65,1368.21,2779.29,2026-05-18,CUENTA BASICA,1,1,1,2025-07-06,781.30,984.39,1137.58,2.17,267.48,45.93
2026-05-18,2000018,4000018,2020-02-29,2026-04-22,48,A,1,5630.08,938.12,1.50,1,93.81,1207.79,1752.84,1438.97,2026-05-18,AHORROS,1,1,1,2026-04-28,182.64,135.56,436.31,0.08,101.71,3.28
2026-05-18,2000019,4000019,2020-06-07,2026-03-04,60,A,20,10015.11,849.87,1.50,1,84.99,609.53,979.41,1173.28,2026-05-18,EL CENTAVITO,1,1,1,2025-05-19,360.74,396.91,458.33,1.87,149.23,29.27
2026-05-18,2000020,4000020,2025-03-01,2026-04-06,69,A,1,10309.09,1111.72,1.00,1,111.17,60.19,1805.23,689.40,2026-05-18,AHORROS,1,1,1,2025-05-10,511.45,1912.12,126.66,0.38,114.74,4.07
