nro_socio,nombre_socio,sexo,estado_civil,fech_nacimiento,ingresos_socio,egresos_socio,nivel_educa,tipo_vivien,nro_carga_fam,tipo_vivien_orig,ciudad_orig,nro_credito
2000000,Mateo Torres Vera,M,C,1996-04-22,2131.89,1106.88,S,PROPIA,5,FAMILIAR,Loja,1
2000001,Carlos Vera Ponce,M,V,1996-09-28,2162.97,1206.81,U,ARRENDADA,2,HIPOTECADA,Portoviejo,1
2000002,Paola Ponce Zambrano,F,C,1994-03-12,1598.93,1130.92,T,ARRENDADA,5,ARRENDADA,Portoviejo,1
2000003,Miguel Moreira Torres,M,S,1994-09-14,2657.42,1407.85,T,FAMILIAR,2,ARRENDADA,Machala,1
2000004,Maria Zambrano Torres,F,D,1980-07-24,2362.71,1880.51,P,HIPOTECADA,4,PROPIA,Portoviejo,1
2000005,Paola Ponce Lopez,F,V,1961-03-06,3906.50,2495.42,N,FAMILIAR,0,HIPOTECADA,Guayaquil,1
2000006,Diego Moreira Lopez,M,V,1995-10-14,1866.17,1128.66,P,HIPOTECADA,4,PROPIA,Manta,1
2000007,Mateo Torres Vera,M,S,1955-06-20,3427.77,2762.52,U,HIPOTECADA,4,PROPIA,Manta,1
2000008,Camila Mendoza Zambrano,F,C,1988-11-02,3834.11,1821.74,U,ARRENDADA,1,FAMILIAR,Machala,1
2000009,Miguel Lopez Mendoza,M,U,1990-06-06,1340.37,866.59,S,FAMILIAR,0,PROPIA,Portoviejo,1
2000010,Oscar Vera Cedeño,M,S,1966-09-14,1540.19,1140.01,P,PROPIA,3,HIPOTECADA,Quito,1
2000011,Jorge Lopez Zambrano,M,U,1974-11-28,2123.88,613.01,P,ARRENDADA,4,HIPOTECADA,Manta,1
2000012,Jorge Lopez Lopez,M,V,1996-04-08,2505.50,748.23,S,FAMILIAR,4,PROPIA,Machala,1
2000013,Oscar Torres Vera,M,S,1972-01-21,952.11,431.68,T,ARRENDADA,1,FAMILIAR,Manta,1
2000014,Luis Vera Moreira,M,D,1956-10-09,997.50,479.81,P,HIPOTECADA,5,PROPIA,Cuenca,1
2000015,Maria Cedeño Torres,F,U,1980-08-02,2847.35,1810.88,N,FAMILIAR,1,PROPIA,Loja,1
2000016,Luis Mendoza Torres,M,U,1987-09-09,2767.26,1852.38,P,ARRENDADA,0,FAMILIAR,Ambato,1
2000017,Lucia Cedeño Ponce,F,S,1979-03-21,2809.12,1992.59,P,FAMILIAR,1,HIPOTECADA,Machala,1
2000018,Miguel Moreira Mendoza,M,U,1974-11-16,1571.64,715.25,T,FAMILIAR,2,HIPOTECADA,Guayaquil,1
2000019,Camila Vera Moreira,F,S,2003-04-05,3516.50,1490.26,N,PROPIA,0,HIPOTECADA,Machala,1
2000020,Ana Lopez Vera,F,C,2003-04-06,2836.15,1981.97,P,FAMILIAR,1,FAMILIAR,Cuenca,1
2000021,Camila Lopez Moreira,F,S,1996-09-18,1882.56,1249.02,N,HIPOTECADA,1,HIPOTECADA,Ambato,1
2000022,Diego Torres Cedeño,M,V,1999-11-04,2995.23,1277.04,P,HIPOTECADA,2,ARRENDADA,Loja,1
2000023,Andres Lopez Zambrano,M,V,1977-03-18,2633.16,1972.96,S,HIPOTECADA,4,HIPOTECADA,Manta,1
2000024,Camila Mendoza Mendoza,F,U,1960-04-13,546.82,243.38,P,PROPIA,4,HIPOTECADA,Portoviejo,1
2000025,Luis Torres Mendoza,M,D,1970-06-20,2362.31,667.34,S,HIPOTECADA,2,HIPOTECADA,Quito,1
2000026,Maria Moreira Vera,F,C,1995-06-26,3242.32,1460.50,P,ARRENDADA,0,FAMILIAR,Ambato,1
2000027,Mateo Mendoza Torres,M,V,1992-04-09,461.37,266.38,S,ARRENDADA,5,HIPOTECADA,Loja,1
2000028,Sofia Zambrano Ponce,F,V,1994-07-09,1262.71,866.09,T,ARRENDADA,1,FAMILIAR,Ambato,1
2000029,Sofia Ponce Moreira,F,D,1971-08-09,2097.90,1405.88,P,ARRENDADA,5,HIPOTECADA,Cuenca,1
2000030,Camila Moreira Ponce,F,S,1987-07-04,1545.78,433.17,P,HIPOTECADA,1,HIPOTECADA,Quito,1
2000031,Paola Moreira Cedeño,F,C,1987-08-18,1509.10,579.66,P,ARRENDADA,0,PROPIA,Manta,1
2000032,Mateo Mendoza Lopez,M,D,1970-02-23,3912.44,2050.23,P,ARRENDADA,4,ARRENDADA,Loja,1
2000033,Ana Mendoza Moreira,F,V,2001-11-15,649.64,328.61,N,PROPIA,4,PROPIA,Manta,1
2000034,Sofia Moreira Lopez,F,D,1981-03-08,3304.12,2385.62,P,FAMILIAR,2,FAMILIAR,Loja,1
2000035,Diana Lopez Cedeño,F,S,1976-06-17,1734.84,1171.98,U,ARRENDADA,1,PROPIA,Quito,1
2000036,Sofia Cedeño Zambrano,F,S,1976-12-31,3719.91,2264.82,U,PROPIA,3,HIPOTECADA,Ambato,1
2000037,Luis Ponce Torres,M,C,2002-10-19,3948.29,2899.15,N,PROPIA,1,FAMILIAR,Quito,1
2000038,Jorge Vera Zambrano,M,C,2002-01-31,3910.69,1473.42,S,PROPIA,0,HIPOTECADA,Portoviejo,1
