fecha_trn,nro_socio,cuenta,signo_nc_nd,valor_trn,causal_trn,correccion,saldo_contable,saldo_disponible
2026-04-26,2000209,4000209,D,2175.77,2,N,13710.82,13710.56
2026-04-02,2000029,4000029,D,1424.92,33,N,14118.68,14087.29
2026-04-01,2000333,4000333,D,1210.33,12,N,14381.96,14361.14
2026-04-29,2000489,4000489,C,1673.88,12,N,15434.08,15393.16
2026-04-13,2000486,4000486,D,1692.93,1,N,3041.17,3031.12
2026-04-30,2000241,4000241,D,873.28,1,N,4130.78,4105.19
2026-03-24,2000332,4000332,C,976.34,33,N,12891.70,12858.84
2026-03-15,2000050,4000050,C,1297.55,5,N,8479.96,8465.75
2026-04-13,2000347,4000347,D,1722.96,21,N,3.36,1.05
2026-05-09,2000044,4000044,C,928.32,8,N,15063.23,15013.54
2026-03-09,2000308,4000308,D,992.23,12,N,5257.98,5241.11
2026-03-04,2000388,4000388,D,2302.98,8,N,9599.66,9556.11
2026-03-21,2000481,4000481,D,189.41,2,N,3628.28,3622.96
2026-04-25,2000062,4000062,C,1215.66,21,N,12271.78,12239.41
2026-03-08,2000263,4000263,D,1927.01,8,N,3403.06,3364.02
2026-05-10,2000232,4000232,D,2170.41,5,N,8407.48,8396.77
2026-04-28,2000338,4000338,C,521.42,12,N,8874.97,8861.94
2026-04-26,2000478,4000478,D,979.03,2,N,3821.26,3780.06
2026-05-12,2000164,4000164,D,2069.91,1,N,0.00,0.00
2026-05-11,2000248,4000248,C,1483.89,2,S,8638.17,8636.93
2026-05-10,2000347,4000347,C,1598.54,1,N,3324.86,3293.51
2026-04-21,2000352,4000352,C,2386.41,12,N,12440.54,12390.62
2026-03-22,2000283,4000283,D,1334.96,33,N,13222.92,13200.20
2026-04-24,2000110,4000110,D,1984.28,2,N,15899.88,15855.50
2026-03-12,2000401,4000401,C,2103.87,2,N,19289.73,19279.40
2026-04-09,2000087,4000087,C,897.84,33,N,15701.02,15680.92
2026-04-02,2000046,4000046,D,1194.26,2,N,7524.94,7504.56
2026-04-29,2000024,4000024,C,446.57,8,N,3412.13,3404.67
2026-03-01,2000152,4000152,D,1969.46,5,N,2016.14,1981.61
2026-03-28,2000148,4000148,C,1091.64,5,N,12060.67,12018.59
2026-03-21,2000313,4000313,C,1628.78,12,N,7290.68,7265.57
2026-04-27,2000131,4000131,C,1137.71,21,N,10118.17,10086.77
2026-04-30,2000063,4000063,C,20.86,5,N,14002.80,13954.04
2026-03-22,2000144,4000144,C,465.44,33,N,8893.83,8861.58
2026-05-04,2000368,4000368,C,286.03,21,N,10677.06,10668.70
2026-05-15,2000068,4000068,C,1167.29,1,N,3531.43,3529.62
2026-04-05,2000329,4000329,C,1493.28,8,N,14731.06,14727.25
2026-03-20,2000471,4000471,C,2478.08,12,N,10442.88,10410.70
2026-05-06,2000303,4000303,D,638.67,33,N,6420.98,6371.60
2026-03-27,2000195,4000195,D,1950.51,8,N,8029.04,8007.27
2026-04-17,2000073,4000073,D,1688.90,12,N,13852.36,13819.67
2026-03-10,2000178,4000178,C,702.18,1,N,3582.01,3570.80
2026-05-17,2000221,4000221,D,2403.67,8,N,9926.13,9884.43
2026-05-07,2000343,4000343,C,1614.54,5,N,12634.99,12632.71
2026-03-19,2000284,4000284,D,2186.48,1,N,10053.04,10031.31
2026-04-25,2000253,4000253,D,1745.50,12,N,15687.60,15664.85
2026-04-19,2000304,4000304,D,484.84,2,N,887.78,843.54
2026-04-01,2000189,4000189,D,527.87,8,N,11693.55,11672.62
2026-05-12,2000056,4000056,D,1591.63,2,N,5442.11,5393.92
2026-04-02,2000380,4000380,D,895.24,8,N,3788.12,3763.71
2026-03-22,2000451,4000451,C,106.34,8,N,14774.38,14753.62
2026-03-05,2000031,4000031,D,2091.94,2,N,0.00,0.00
2026-04-21,2000009,4000009,C,202.98,33,N,15483.62,15480.72
2026-04-20,2000086,4000086,D,1150.30,5,N,3971.17,3931.05
2026-04-29,2000375,4000375,D,464.70,8,N,10822.57,10791.23
2026-03-12,2000295,4000295,C,111.13,12,N,2603.36,2572.47
2026-05-17,2000122,4000122,D,1605.81,1,N,42.81,26.96
2026-03-03,2000307,4000307,C,2228.74,33,N,4249.13,4227.22
2026-03-03,2000374,4000374,C,1532.99,1,N,1972.67,1959.74
2026-05-04,2000160,4000160,D,1085.41,1,N,900.69,876.40
2026-05-06,2000024,4000024,D,7.46,1,N,2958.10,2923.49
2026-04-01,2000281,4000281,D,1080.10,2,N,7680.67,7677.98
2026-05-10,2000067,4000067,C,1640.14,21,N,6878.96,6858.50
2026-05-17,2000296,4000296,D,811.55,12,N,3117.54,3114.65
2026-03-16,2000145,4000145,D,986.91,12,N,9441.06,9439.89
2026-04-12,2000083,4000083,C,702.72,8,N,18472.00,18468.21
2026-03-27,2000483,4000483,C,1958.84,8,N,13580.58,13537.76
2026-04-01,2000346,4000346,C,601.60,8,N,14768.35,14725.29
2026-04-29,2000262,4000262,D,2015.51,33,N,7590.20,7555.47
2026-03-09,2000012,4000012,C,922.66,1,N,3161.57,3120.07
2026-05-09,2000220,4000220,C,284.74,33,N,3683.18,3661.29
2026-05-03,2000154,4000154,D,60.53,1,S,7139.94,7090.86
2026-03-23,2000293,4000293,C,1238.97,12,N,16739.81,16692.51
